R,G,B,H,L,S,Count_df1,Count_df2
210,86,124,342,58,58,8,10.0
210,126,82,21,57,59,3,4.0
210,171,135,29,68,45,3,4.0
211,112,142,342,63,53,3,4.0
212,69,138,331,55,62,2,3.0
212,136,39,34,49,69,2,4.0
212,147,139,7,69,46,3,4.0
212,167,193,325,74,34,14,16.0
213,96,111,352,61,58,10,12.0
213,128,82,21,58,61,3,4.0
213,148,138,8,69,47,3,4.0
213,221,237,220,88,40,11,12.0
214,82,92,355,58,62,2,3.0
214,97,140,338,61,59,2,3.0
214,161,187,331,74,39,12,14.0
214,181,177,6,77,31,3,4.0
214,186,206,317,78,25,3,4.0
215,116,140,345,65,55,3,4.0
215,158,191,325,73,42,2,4.0
215,165,193,326,75,38,3,4.0
215,232,206,99,86,36,3,4.0
216,160,121,25,66,55,2,3.0
216,176,125,34,67,54,2,3.0
216,177,127,34,67,53,2,3.0
217,89,103,353,60,63,2,3.0
217,154,171,344,73,45,1,4.0
217,160,87,34,60,63,2,3.0
218,204,179,38,78,35,10,12.0
218,207,189,37,80,28,8,11.0
218,230,247,215,91,64,3,4.0
219,91,115,349,61,64,3,4.0
219,138,154,348,70,53,11,12.0
219,152,171,343,73,48,1,4.0
219,169,106,33,64,61,2,3.0
219,202,203,356,83,19,9,12.0
220,172,166,7,76,44,3,4.0
220,181,132,33,69,56,2,3.0
220,216,226,264,87,15,6,8.0
221,177,122,33,67,59,2,3.0
221,178,199,331,78,39,3,4.0
221,187,166,23,76,45,15,16.0
222,236,215,100,88,36,3,4.0
224,102,73,12,58,71,4,6.0
224,180,125,33,68,61,5,6.0
225,108,104,2,65,67,7,9.0
225,166,123,25,68,63,8,9.0
225,210,219,324,85,20,3,4.0
227,190,211,326,82,40,10,12.0
227,203,204,357,84,30,13,16.0
227,221,225,320,88,10,7,8.0
227,229,94,61,63,72,11,12.0
228,134,14,34,47,88,8,11.0
230,120,138,350,69,69,8,9.0
230,122,75,18,60,76,1,8.0
230,165,81,34,61,75,1,3.0
231,142,172,340,73,65,1,4.0
231,223,194,47,83,44,8,12.0
232,160,75,32,60,77,4,8.0
232,163,180,345,77,60,8,9.0
232,205,214,340,86,37,8,12.0
232,205,222,322,86,37,14,16.0
232,213,213,0,87,29,10,12.0
232,237,232,120,92,12,7,9.0
233,127,145,350,71,71,3,4.0
233,131,136,357,71,70,13,16.0
233,200,227,311,85,43,9,12.0
233,203,143,40,74,67,14,16.0
233,222,114,54,68,73,15,16.0
234,93,168,328,64,77,2,3.0
234,135,69,24,59,80,2,6.0
234,152,141,7,74,69,3,4.0
234,164,75,34,61,79,2,3.0
235,164,73,34,60,80,2,3.0
236,123,173,333,70,75,1,4.0
236,196,172,22,80,63,9,12.0
236,234,131,59,72,73,10,12.0
237,214,234,308,88,39,7,9.0
237,220,171,45,80,65,9,12.0
238,117,172,333,70,78,1,4.0
238,167,76,34,62,83,3,4.0
238,218,222,348,89,37,2,3.0
239,123,95,12,65,82,8,9.0
239,184,83,39,63,83,10,12.0
239,219,223,348,90,38,2,3.0
239,231,231,0,92,20,10,12.0
240,209,189,24,84,63,6,9.0
241,152,106,20,68,83,8,9.0
242,147,166,348,76,79,7,8.0
243,126,106,9,68,85,8,12.0
243,150,31,34,54,90,4,6.0
243,162,57,34,59,89,2,3.0
243,185,110,34,69,85,3,4.0
244,187,189,358,85,72,3,4.0
244,187,191,356,85,72,3,4.0
244,191,64,42,60,89,11,12.0
244,192,62,43,60,89,12,16.0
244,225,187,40,85,72,14,15.0
245,166,197,336,81,80,3,4.0
245,206,224,332,88,66,1,2.0
246,142,157,351,76,85,9,12.0
246,174,194,343,82,80,2,9.0
246,219,231,333,91,60,8,12.0
247,177,136,22,75,87,11,12.0
247,203,219,338,88,73,1,9.0
248,178,146,19,77,88,11,12.0
250,148,172,346,78,91,3,4.0
250,159,187,342,80,90,3,4.0
250,169,210,330,82,89,1,4.0
250,217,183,30,85,87,9,12.0
252,200,133,34,75,95,3,4.0
255,118,82,12,66,100,2,3.0
255,134,92,15,68,100,2,3.0
255,178,160,11,81,100,3,4.0
255,187,161,17,82,100,3,4.0
255,223,196,27,88,100,1,2.0
